Product Name,Image 1 Link,Image 2 Link,Product Description,Original Price,After Sale,Product Details
Nescafe Classic Instant Coffee Jar 190g,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/0.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/1.png,"Experience a distinct and premium coffee taste with this imported soluble coffee powder. Crafted from the finest blend of Robusta and Arabica beans, each cup offers a rich and smooth flavor, expertly prepared to make your coffee moments truly special. The specially designed glass jar ensures that your Nescafe Gold stays fresh and flavorful to the last drop, preserving its aroma and taste for a consistently satisfying experience.",29.95,,"Features:
Flavor Profile: Rich and robust flavor with a smooth finish, perfect for any time of day.
Instant Convenience: Quickly dissolves in hot water, allowing for a fast and easy coffee preparation.
Quality Beans: Made from high-quality coffee beans, expertly roasted to deliver a classic coffee taste.
Versatile Use: Can be enjoyed as a hot beverage or used as a base for cold coffee drinks, desserts, and recipes.

Brewing Instructions:
Measure: Use 1-2 teaspoons of instant coffee per cup (200ml) of hot water, adjusting according to your taste preference.
Mix: Stir the coffee granules in hot water until fully dissolved.
Serve: Enjoy as is, or customize with milk, sugar, or flavored syrups as desired.

Storage:
Keep in a cool, dry place and ensure the jar is tightly sealed after use to maintain freshness.
"
Nescafe Gold Decaf Instant Coffee Jar 95g,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/10.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/100.png,"Enjoy the rich, smooth taste of Nescafe Gold without the caffeine. Made from carefully selected Arabica and Robusta beans, this premium decaf blend delivers the same great flavor you love. The 95g jar ensures freshness and convenience, perfect for a relaxing cup of coffee at any time of the day. Ideal for those seeking a high-quality coffee experience without the caffeine kick",39.95,,"Features:
Decaffeinated: Crafted using a special decaffeination process to retain the rich flavor while removing caffeine.
Rich Flavor: Offers a smooth and well-balanced taste profile with a hint of sweetness, ideal for coffee lovers looking for a caffeine-free option.
Instant Convenience: Easily dissolves in hot water, providing a quick and hassle-free coffee experience.
Versatile Use: Great for hot or cold coffee drinks, and can also be used in various recipes for desserts or baking.

Brewing Instructions:
Measure: Use 1-2 teaspoons of Nescafe Gold Decaf per cup (200ml) of hot water, adjusting according to taste.
Mix: Stir the granules into hot water until fully dissolved.
Serve: Enjoy as is, or enhance with milk, sugar, or flavorings as desired.

Storage:
Store in a cool, dry place and keep the jar tightly sealed after use to preserve freshness.
"
Nescafe 3in1 Instant Coffee Mix Stick 20g (30+5 Sticks),https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/101.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/102.png,"Nescafe Instant Coffee Sticks are convenient single-serve packets of instant coffee, perfect for on-the-go coffee lovers. Each stick contains a blend of rich coffee that delivers the classic Nescafe taste with ease.
",54.45,48.95,"Features:
Single-Serve Convenience: Each stick contains just the right amount of instant coffee for one cup, making it easy to enjoy coffee anywhere.
Rich Flavor: Delivers the familiar smooth and aromatic taste that Nescafe is known for.
Quick Preparation: Simply mix with hot water for an instant coffee experience in seconds.
Versatile: Ideal for home, work, travel, or outdoor activities.

Brewing Instructions:
Open: Tear open a stick.
Mix: Empty the contents into a cup of hot water (about 200 ml).
Stir: Mix well until the coffee dissolves.
Serve: Enjoy plain or customize with milk, sugar, or your favorite flavors.

Storage:
Store in a cool, dry place. Reseal the box after use to maintain freshness.
"
"Nescafe 2in1 Classic 11.7g, Pack of 30",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/103.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/104.jpg,"Nescafé 2in1 Classic offers a convenient blend of rich instant coffee and creamer in a single sachet. It’s perfect for those who enjoy a quick, easy, and balanced coffee experience without the need for added sugar.",34.95,,"Brand: Nescafe
Product Name: 2in1 Classic
Packaging: Pack of 30 sachets
Sachet Size: 11.7g each
Ingredients: Instant coffee, sugar, and non-dairy creamer.
Flavor Profile:
Smooth and balanced with a rich coffee taste.
Sweetened to provide a delightful flavor without any additional ingredients.
Preparation Method:
Simply empty the sachet into a cup.
Add hot water, stir well, and enjoy.
Convenience:
Ideal for on-the-go, at the office, or at home.
No need for measuring or additional ingredients, making it perfect for busy lifestyles."
Nescafe Gold Dark Roast Jar 190g,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/104.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/105.png,"Nescafé Gold Dark Roast is crafted from a premium blend of high-quality, dark-roasted Arabica and Robusta coffee beans. This instant coffee offers an intense, rich, and full-bodied flavor with a robust aroma, perfect for those who enjoy a deep coffee experience. It’s designed to deliver a superior taste with a refined finish, making it ideal for a premium coffee moment at home.",50.95,,"Brand: Nescafe
Product Name: Gold Dark Roast
Packaging: Jar
Net Weight: 190g
Ingredients: Instant coffee.
Flavor Profile:
Intense and bold with a deep roasted flavor.
Smooth texture with a rich aroma that enhances the coffee experience.
Preparation Method:
Add 1-2 teaspoons of coffee to a cup.
Pour hot water and stir until dissolved. Enjoy your coffee!
Versatility:
Perfect for making classic coffee or as a base for various coffee recipes.
Can be enjoyed black or with milk and sugar to taste."
Nescafe Classic Instant Coffee Jar 95g,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/106.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/109.png,"Nescafé Classic Instant Coffee offers a rich, robust, and aromatic coffee experience, made from 100% pure coffee beans. Carefully selected and roasted to perfection, this instant coffee is ideal for those who enjoy a bold and strong flavor. It is designed to deliver a consistent and rich cup of coffee with a smooth finish, providing the perfect start to your day or a refreshing break anytime.
",20.5,,"Brand: Nescafe
Product Name: Classic Instant Coffee
Packaging: Jar
Net Weight: 95g
Ingredients: 100% instant coffee.
Flavor Profile:
Classic and balanced flavor with a smooth finish.
Rich aroma that awakens the senses.
Preparation Method:
Add 1-2 teaspoons of instant coffee to a cup.
Pour hot water and stir well until dissolved. Enjoy your coffee!
Versatility:
Ideal for everyday coffee consumption.
Can be enhanced with milk, cream, or sugar according to personal preference."
Nescafe Gold Dark Roast Jar 95g,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/11.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/110.png,"Nescafé Gold Dark Roast is an instant coffee that offers a rich and intense flavor profile, designed for those who appreciate a bolder coffee experience. Made from high-quality coffee beans, this blend is roasted to perfection, delivering a deep, dark flavor with aromatic notes. It’s ideal for those moments when you want a strong cup of coffee that invigorates and awakens your senses.
",30.0,,"Brand: Nescafe
Product Name: Gold Dark Roast
Packaging: Jar
Net Weight: 95g
Ingredients: Instant coffee.
Flavor Profile:
Intense and bold with a deep roasted flavor.
Smooth texture with a rich aroma that enhances the coffee experience.
Preparation Method:
Add 1-2 teaspoons of coffee to a cup.
Pour hot water and stir until dissolved. Enjoy your coffee!
Versatility:
Perfect for making classic coffee or as a base for various coffee recipes.
Can be enjoyed black or with milk and sugar to taste."
"Nescafe Gold Espresso Instant Coffee, Rich Crema, 100% Arabica, Jar 100g",https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/111.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/112.png,"Nescafé Espresso Instant Coffee made from 100% Arabica beans is a premium instant coffee that captures the authentic espresso experience. This blend offers a rich, full-bodied flavor with a velvety crema, making it perfect for those who appreciate a strong and aromatic coffee. Easy to prepare, it allows you to enjoy the essence of espresso at home or on the go.
",43.95,,"Brand: Nescafe
Product Name: Espresso Instant Coffee
Packaging: Jar
Net Weight: 100g
Ingredients: 100% instant coffee made from Arabica beans.
Flavor Profile:
Rich and full-bodied taste with a creamy texture.
Deep aroma characteristic of high-quality Arabica coffee.
Preparation Method:
Add 1-2 teaspoons of instant coffee to a cup.
Pour hot water (just below boiling) and stir well until dissolved. Enjoy your espresso!
Versatility:
Ideal for making espresso shots, lattes, or as a base for various coffee beverages.
Can be served with milk, cream, or sweeteners as per preference."
Nescafe Cappuccino Foamy Coffee Mix With Chocolate Sprinkles 19.3g (20 Sticks),https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/113.png,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/117.png,"Nescafé Cappuccino Coffee with Chocolate Sprinkles offers a delightful blend of rich coffee and creamy froth topped with indulgent chocolate sprinkles. This instant cappuccino mix provides a perfect balance of flavor and sweetness, making it a convenient choice for a cozy coffee break. Just add hot water to enjoy a delicious café-style cappuccino at home or wherever you are.
",58.95,,"Brand: Nescafe
Product Name: Cappuccino Foamy Coffee Mix with Chocolate Sprinkles
Packaging: Stick Packs
Net Weight: 19.3g per stick (20 sticks per box)
Ingredients: Instant coffee, sugar, non-dairy creamer, cocoa powder, chocolate sprinkles, and other flavorings.
Flavor Profile:
Creamy and foamy coffee with a rich chocolate flavor.
Sweet and indulgent, perfect for dessert or an afternoon treat.
Preparation Method:
Empty one stick into a cup.
Add hot water (about 150 ml) and stir well until mixed. Enjoy your foamy cappuccino with chocolate sprinkles!
Convenience:
Individually packed sticks for easy preparation and portability.
Great for home, office, or travel."
Nescafe Cappuccino Latte Coffee Mix 19g (5 Sticks),https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/118.jpg,https://storage.googleapis.com/vivi_app/postgreSQL/dbo-coffee/raw_schema_marketplace/product_images/119.jpg,"Nescafé Cappuccino Latte Coffee Sticks offer a convenient way to enjoy a creamy latte with rich coffee flavor anytime, anywhere. Each stick contains a perfectly balanced mix of instant coffee, sugar, and creamer, allowing you to create a delicious café-style latte by simply adding hot water. Ideal for busy mornings or a relaxing afternoon treat.
",16.45,,"Brand: Nescafe
Product Name: Cappuccino Latte Coffee Mix
Packaging: Stick Packs
Net Weight: 19g per stick (5 sticks per box)
Ingredients: Instant coffee, sugar, non-dairy creamer, and other flavorings.
Flavor Profile:
Creamy latte with a hint of coffee.
Rich and frothy texture, reminiscent of café cappuccinos.
Preparation Method:
Empty one stick into a cup.
Add hot water (about 150 ml) and stir well until mixed. Enjoy your cappuccino latte!
Convenience:
Individually packed sticks for easy carrying and preparation.
Ideal for home, office, or travel."
